RECORD_TIME,H_WIND_AMOUNT,H_COLD_PRESS,H_QLWC,H_FYL,H_PRESS_DIFF,H_LYL,H_SF,H_ACT_FS,H_GDFN,OFT,TS,GFD,BFC
2023-11-24 20:00:00,5513.67,393.31,2.19,0.0,166.99,46.05,2.28,246.79,11536.05,3,1,1,1
2023-06-09 04:00:00,5954.36,436.19,1.95,4.47,173.53,46.45,11.01,270.82,15498.73,1,1,1,1
2023-11-06 18:00:00,5960.99,427.87,2.9,3.9,172.48,48.53,6.57,265.84,14493.75,1,1,1,1
2023-09-01 01:00:00,5887.86,429.83,1.7,5.3,169.32,44.76,3.09,263.85,14087.57,1,1,1,1
2023-05-18 11:00:00,5917.26,438.31,1.7,4.4,176.22,47.12,18.01,259.47,14146.26,5,1,1,1
2023-05-08 14:00:00,5898.86,438.02,2.17,4.41,176.53,47.25,18.38,257.88,13911.08,3,3,1,1
2024-02-05 00:00:00,6001.82,435.24,2.47,6.06,179.32,47.64,14.66,265.79,14568.21,1,1,1,1
2023-04-02 18:00:00,5835.89,435.85,2.31,4.79,177.72,47.15,22.09,254.48,12996.13,5,1,1,1
2023-11-15 08:00:00,0.0,26.8,0.54,0.0,-0.64,0.0,1.39,0.0,0.0,1,1,1,1
2023-05-06 20:00:00,5921.48,437.58,2.25,4.39,175.72,46.45,21.45,261.22,14322.24,1,1,1,3
2023-10-14 11:00:00,3699.47,283.3,1.65,0.0,137.53,47.55,1.35,223.93,7023.55,3,1,1,3
2023-05-09 21:00:00,6035.11,434.78,2.09,4.33,176.37,46.35,13.37,267.58,15329.1,1,1,1,1
2023-12-21 14:00:00,6133.51,435.35,2.67,6.15,179.24,47.35,6.47,266.5,14974.1,3,3,3,1
2023-05-28 01:00:00,5904.49,435.06,1.74,4.52,172.63,47.07,17.56,266.02,14815.5,4,1,1,1
2023-05-20 22:00:00,5861.9,438.0,1.75,4.54,175.79,47.94,16.52,261.84,14260.34,1,1,1,1
2023-04-02 11:00:00,5832.29,432.79,2.23,4.71,174.81,47.37,20.51,252.33,12752.01,5,1,1,1
2023-03-01 18:00:00,5974.72,429.03,2.06,5.23,167.99,46.35,21.39,267.66,14698.28,4,1,1,1
2023-04-16 21:00:00,5696.59,431.75,1.83,2.74,176.55,42.93,23.39,233.57,10678.0,1,1,1,1
2024-01-28 04:00:00,5901.7,433.96,3.03,6.15,178.46,46.89,15.76,261.17,13836.19,4,1,1,1
2023-06-17 14:00:00,5789.28,426.95,1.73,3.59,174.26,46.77,6.13,259.68,13851.68,2,1,1,1
2023-07-16 11:00:00,5901.9,432.89,0.0,5.07,173.42,45.33,4.69,257.27,13425.17,1,3,3,1
2024-01-20 09:00:00,6013.99,434.54,2.12,6.05,178.85,46.87,13.34,263.87,14396.56,1,1,1,1
2023-06-11 10:00:00,5817.9,430.41,1.93,3.76,170.17,46.62,3.06,259.97,13958.5,1,1,1,1
2023-07-05 07:00:00,5848.65,439.01,0.0,5.11,177.5,45.21,3.32,254.0,12961.36,4,1,1,1
2023-08-07 09:00:00,5926.72,437.3,0.96,5.48,176.64,46.33,1.59,256.78,13434.21,5,1,1,1
2023-10-07 06:00:00,1829.25,149.4,1.0,0.0,105.61,42.61,1.79,195.39,3987.11,1,2,2,1
2023-09-06 17:00:00,5834.44,432.8,1.31,5.35,173.43,43.44,1.7,256.81,13206.28,1,1,1,1
2023-05-29 03:00:00,5878.1,439.4,1.66,4.53,177.37,46.85,17.21,261.13,14216.95,1,1,1,1
2024-02-21 12:00:00,6026.81,434.23,2.05,6.02,178.14,47.09,16.59,270.26,15109.2,1,1,1,1
2023-09-04 17:00:00,6003.31,435.09,1.22,5.19,174.87,44.24,2.49,264.52,14440.61,1,1,1,1
2024-01-07 23:00:00,210.4,20.6,1.59,0.0,5.62,48.55,6.7,30.01,398.3,4,1,1,1
2023-10-21 20:00:00,6030.61,430.19,2.67,2.81,175.12,50.06,1.98,259.76,13987.15,1,3,3,1
2023-11-13 13:00:00,0.0,26.01,0.69,0.0,-0.62,0.0,1.61,0.0,0.0,1,1,1,1
2023-10-03 03:00:00,3698.6,292.12,2.83,0.0,137.39,45.13,2.68,246.44,9501.76,1,1,1,1
2024-02-28 20:00:00,6058.41,433.49,1.83,5.99,177.28,47.08,12.5,271.76,15367.02,5,1,1,1
2023-08-04 09:00:00,5867.21,434.7,0.99,5.53,174.45,45.54,4.06,250.98,12702.72,1,1,1,1
2023-09-25 15:00:00,5889.44,432.19,2.61,3.98,172.15,49.23,2.49,261.45,13831.0,2,1,1,1
2023-10-04 20:00:00,0.0,-0.66,0.61,0.0,-0.37,41.97,1.18,0.0,0.0,5,3,3,1
2023-05-22 08:00:00,5967.79,438.12,1.75,4.47,175.33,46.9,15.94,269.51,15382.06,1,1,1,1
2023-12-30 00:00:00,6083.31,432.28,2.24,5.99,176.38,46.66,7.38,265.85,14774.37,3,4,1,1
2023-08-21 21:00:00,6038.97,420.15,2.51,4.96,158.83,43.45,2.22,277.26,15945.94,4,1,1,1
2023-03-06 14:00:00,5887.5,432.93,2.39,5.3,172.75,47.39,20.67,260.2,13686.61,1,1,1,1
2023-10-10 08:00:00,5877.14,410.31,1.94,1.43,167.11,44.48,1.44,278.84,16213.15,1,1,1,1
2023-12-13 19:00:00,6024.43,434.82,2.4,5.18,179.57,46.83,8.64,258.53,13837.55,1,1,1,1
2023-03-25 16:00:00,5920.76,422.49,3.03,5.05,161.24,45.76,21.13,262.27,13989.31,3,1,1,1
2023-04-12 21:00:00,5735.13,420.52,1.86,2.15,171.04,42.98,17.34,249.33,12250.47,2,1,1,3
2023-06-21 18:00:00,5921.68,436.04,1.62,3.97,174.43,45.86,6.15,253.94,13128.14,1,1,1,1
2023-12-29 22:00:00,6072.71,429.72,2.08,6.02,174.11,46.51,7.34,267.58,14956.79,3,4,4,1
2024-02-02 17:00:00,6043.25,431.63,2.31,6.03,175.95,46.47,14.86,259.67,14010.16,1,1,1,1
2023-04-23 04:00:00,5880.19,436.26,2.31,3.1,180.14,50.32,14.02,257.14,13796.36,3,1,1,1
2023-07-17 23:00:00,6034.66,437.24,0.0,4.94,175.42,45.1,1.52,263.98,14449.19,1,1,1,1
2024-01-24 06:00:00,6046.86,431.86,2.32,6.02,175.71,45.84,11.84,269.0,15036.3,3,1,1,1
2023-08-15 04:00:00,5729.04,432.0,1.11,3.86,177.28,44.14,3.08,241.68,11501.44,1,4,1,1
2023-11-11 13:00:00,5945.87,431.68,2.39,4.1,177.03,47.75,2.89,261.82,14012.43,1,1,1,1
2023-10-20 14:00:00,6008.9,420.95,3.45,1.98,167.76,49.22,4.57,267.21,14751.87,2,1,1,1
2023-11-02 05:00:00,0.0,-0.68,0.6,0.0,-0.54,66.17,1.57,0.0,0.0,1,1,1,1
2023-04-09 01:00:00,5839.11,436.03,1.54,4.68,174.9,45.03,16.2,252.5,12796.31,5,1,1,1
2023-08-20 22:00:00,5990.55,429.62,1.97,4.99,168.7,44.52,1.69,265.28,14491.64,4,1,1,1
2023-08-22 14:00:00,6055.02,437.02,1.93,4.94,175.95,44.65,3.0,263.2,14410.97,1,1,1,1
2023-05-07 11:00:00,6000.13,440.11,2.38,4.33,178.09,47.34,15.37,264.23,14868.85,4,1,1,1
2023-11-23 21:00:00,5898.11,429.11,2.1,2.21,178.7,47.92,4.7,260.65,13765.67,3,1,1,1
2023-06-20 21:00:00,5840.6,416.73,1.85,4.02,161.78,45.8,9.22,266.19,14225.76,4,1,1,2
2023-12-18 22:00:00,5974.34,430.61,2.65,6.31,175.14,48.07,10.55,264.07,14315.69,1,1,1,1
2023-05-21 08:00:00,5930.85,439.54,1.66,4.49,177.11,47.16,16.87,263.79,14640.72,1,1,1,1
2024-02-08 12:00:00,6011.92,433.68,2.68,6.04,177.75,47.07,16.01,268.96,14913.48,1,1,1,1
2023-05-25 02:00:00,5920.28,436.69,1.84,4.51,174.21,47.43,12.67,266.77,14938.04,1,1,1,1
2023-05-10 13:00:00,5679.96,416.82,2.24,1.62,175.07,44.82,13.57,251.33,12728.38,2,1,1,1
2023-08-01 08:00:00,5945.43,438.18,1.07,5.24,176.81,45.26,3.75,258.21,13610.86,1,2,2,1
2023-04-17 15:00:00,5572.34,410.33,1.88,1.29,169.81,42.05,22.87,242.08,11232.0,2,2,2,1
2023-04-15 11:00:00,5788.58,423.73,1.57,2.71,170.59,43.05,20.16,248.09,12246.59,5,1,1,1
2024-01-31 04:00:00,5964.17,432.21,2.56,6.12,176.9,46.65,10.44,255.32,13349.18,1,1,1,1
2023-10-11 17:00:00,5822.36,423.93,1.59,1.53,174.2,47.31,2.05,258.3,13355.76,1,1,1,1
2023-11-25 04:00:00,5801.19,399.64,3.4,0.0,163.37,46.82,4.46,258.8,13353.8,3,2,2,1
2023-08-22 05:00:00,6037.44,430.92,2.08,4.96,169.97,44.06,2.31,267.52,14856.88,4,1,1,1
2023-06-18 18:00:00,5890.84,429.63,1.71,4.21,173.8,46.08,6.54,263.71,14523.55,2,1,1,1
2023-11-15 18:00:00,0.0,25.48,0.46,0.0,-0.85,0.0,2.48,0.0,0.0,5,1,1,1
2023-06-26 17:00:00,5922.27,435.84,1.57,4.83,174.68,45.71,4.64,260.2,13778.2,3,1,1,1
2023-05-20 05:00:00,5913.31,439.67,1.68,4.49,177.46,47.39,14.18,261.28,14318.77,3,1,1,1
2023-07-28 19:00:00,5904.49,437.65,1.0,5.29,176.49,45.89,3.54,254.92,13184.97,1,1,1,1
2023-07-19 21:00:00,5903.68,440.16,0.0,5.07,178.85,46.56,3.61,251.05,12780.15,1,1,1,1
2023-09-06 15:00:00,5769.91,437.79,1.28,5.42,178.54,43.33,1.74,249.92,12389.77,1,1,1,1
2023-08-21 22:00:00,6029.33,426.91,2.51,4.95,165.48,43.49,2.36,274.71,15655.12,4,1,1,1
2023-04-18 11:00:00,5710.88,425.92,1.84,1.83,174.0,49.03,18.42,243.32,11624.09,4,1,1,1
2024-01-09 08:00:00,6043.02,434.71,2.79,6.02,178.65,47.39,9.52,266.52,14746.3,1,4,4,1
2023-12-04 23:00:00,6147.4,430.49,3.33,3.39,174.47,47.16,8.73,269.25,15342.58,1,1,1,4
2023-07-29 12:00:00,5930.14,439.41,1.01,5.26,178.11,45.51,4.32,256.16,13367.52,4,4,4,1
2023-08-13 16:00:00,5788.3,436.54,1.08,5.38,176.49,45.15,3.07,246.07,12045.07,1,1,1,1
2023-07-24 19:00:00,0.0,8.82,0.0,0.0,-0.22,46.7,2.44,0.0,0.0,4,1,1,1
2023-08-26 09:00:00,6058.92,432.0,1.83,5.03,170.64,45.57,3.77,273.63,15586.91,3,1,1,1
2023-10-08 11:00:00,5453.33,392.45,2.5,0.0,164.49,45.23,1.94,268.99,14458.6,5,1,1,1
2023-03-19 06:00:00,5869.82,415.01,2.85,4.66,158.84,46.2,22.57,265.67,14238.54,4,1,1,1
2023-09-24 15:00:00,5847.84,432.74,2.44,3.95,172.65,48.83,3.3,261.95,13798.37,1,1,1,1
2023-08-29 17:00:00,5964.32,431.2,1.6,5.23,170.38,44.5,2.48,270.75,15038.62,1,4,4,1
2023-05-24 14:00:00,5911.08,437.08,1.84,4.39,174.37,48.18,12.81,265.94,14834.45,1,1,1,4
2023-06-23 01:00:00,5943.41,427.91,1.66,4.43,165.67,46.04,9.67,269.58,15338.69,1,1,1,1
2023-09-04 12:00:00,5802.47,437.77,1.3,5.27,178.17,44.42,2.46,250.54,12517.08,1,3,3,1
2023-12-25 02:00:00,6073.61,434.91,2.28,5.76,179.34,47.03,5.09,261.37,14261.58,3,1,1,1
2023-03-21 18:00:00,5801.31,420.36,3.29,5.16,161.39,46.5,20.21,258.28,13296.51,1,1,1,1
2023-05-25 20:00:00,5950.93,439.86,1.85,4.39,177.17,47.55,16.91,266.46,14998.49,1,1,1,4
2023-06-19 12:00:00,5814.58,418.86,1.84,3.97,166.23,46.2,7.67,268.1,14813.92,1,1,1,1
2023-04-23 19:00:00,5980.79,433.49,2.23,3.47,171.54,49.53,16.61,264.18,14822.78,1,1,1,1
2024-01-15 23:00:00,6054.22,435.54,3.16,6.01,180.03,47.5,10.25,265.42,14671.49,1,1,1,1
2023-08-08 21:00:00,5933.5,433.18,1.11,5.47,172.29,46.64,4.11,258.05,13591.95,3,1,1,1
2023-03-19 18:00:00,5848.39,424.79,2.58,4.66,168.85,46.57,20.28,260.63,13650.31,5,1,1,2
2023-11-20 00:00:00,6036.08,430.2,3.56,1.31,174.41,49.07,2.53,264.22,14470.98,1,2,2,4
2023-04-03 07:00:00,5872.33,433.64,2.6,4.89,174.13,46.09,21.59,257.35,13358.09,1,1,1,1
2023-12-18 03:00:00,6127.21,432.45,2.1,5.94,176.45,47.28,8.32,270.03,15349.1,3,1,1,3
2023-04-12 01:00:00,5791.27,433.78,1.62,4.76,173.07,43.71,16.59,246.91,12126.73,4,1,1,1
2023-04-26 10:00:00,5598.13,407.18,2.32,1.85,166.02,48.02,17.74,267.39,14672.43,4,1,1,1
2023-08-14 07:00:00,5615.32,425.98,1.07,4.4,176.83,45.11,3.54,239.1,11029.09,3,1,1,1
2024-02-22 15:00:00,6066.87,432.62,1.98,6.0,176.18,47.18,17.81,273.51,15588.35,1,1,1,1
2024-01-27 11:00:00,5982.77,437.12,2.32,6.07,181.42,46.69,16.01,264.38,14372.17,4,1,1,1
2023-04-21 23:00:00,5907.69,428.94,3.43,2.2,172.33,48.09,12.43,263.2,14514.42,1,3,3,1
2023-07-18 09:00:00,5904.89,435.46,0.0,5.06,173.8,45.68,1.4,259.17,13629.43,3,1,1,1
