RECORD_TIME,D,E,F,G,H,I,J,K,L,M
2024/3/1 15:00,63.9,90.3,54.8,52.2,50,46.3,46.5,58.2,122.9,79
2024/3/1 14:00,64.6,89.8,55.1,52.4,50.3,46.6,46.8,58.5,121.8,80.4
2024/3/1 13:00,65.2,89,55,52.4,50.3,46.7,47,58.6,122.5,81.9
2024/3/1 12:00,65.5,89,55,52.4,50.3,46.7,46.9,58.8,120.7,84.4
2024/3/1 11:00,65.5,90.2,54.9,52.3,50.1,46.5,46.8,59,131.6,86.4
2024/3/1 10:00,65.2,91,54.8,52.2,49.9,46.3,46.7,59.2,159.4,83
2024/3/1 9:00,65.3,91.6,54.7,52.1,49.9,46.2,46.4,59.2,134.4,81.7
2024/3/1 8:00,64.9,92.6,54.8,52.3,49.9,46.2,46.4,58.9,129.5,81.3
2024/3/1 7:00,64.5,92.8,55,52.4,50.1,46.3,46.5,59.1,133,79.9
2024/3/1 6:00,65,91.3,55.3,52.7,50.3,46.7,46.9,59.4,131,80
2024/3/1 5:00,65.6,86.4,55.4,52.7,50.3,46.7,46.9,59.3,129.8,80.4
2024/3/1 4:00,66.1,84.6,55.2,52.6,50.1,46.5,46.8,59,129.6,80.9
2024/3/1 3:00,66.7,88,55.1,52.5,49.9,46.3,46.6,58.6,130.6,80.3
2024/3/1 2:00,67.7,90.7,54.9,52.4,49.8,46.1,46.4,58.3,131.5,78.8
2024/3/1 1:00,68.7,93.9,54.8,52.4,49.6,45.9,46.2,58.3,125.2,78.6
2024/3/1 0:00,69.8,97.7,54.8,52.6,49.7,46.1,46.3,58.9,119.1,80.5
2024/2/29 23:00,70.9,100.1,54.8,52.6,49.8,46.1,46.4,59.3,117.8,84.3
2024/2/29 22:00,71.6,103.4,54.8,52.6,49.7,46.1,46.3,59.4,125.9,87.5
2024/2/29 21:00,71.9,101.1,54.7,52.6,49.5,45.9,46.2,59.6,143.5,91.1
2024/2/29 20:00,72.2,98.3,54.8,52.7,49.5,46,46.2,60,153.7,94.4
2024/2/29 19:00,73,98.3,54.9,52.7,49.6,46.2,46.4,60.4,172.5,90.5
2024/2/29 18:00,74.6,95.9,54.8,52.7,49.8,46.4,46.5,59.6,180,88.2
2024/2/29 17:00,76.9,91.3,54.5,52.5,49.8,46.5,46.7,58.7,177.5,86.4
2024/2/29 16:00,79.2,87.4,54.1,52.2,49.8,46.5,46.7,59.2,160.3,82.6
2024/2/29 15:00,81.7,80.4,53.7,51.9,49.9,46.5,46.5,59.3,146.3,84.1
2024/2/29 14:00,85.2,72.8,53.2,51.7,49.9,46.4,46.6,59.3,145,86.6
2024/2/29 13:00,88.9,67.9,52.9,51.5,49.8,46.2,46.5,58.7,171.1,85.1
2024/2/29 12:00,92.9,65,52.7,51.5,49.6,46.1,46.5,59.3,156.6,81.1
2024/2/29 11:00,96.8,64,52.6,51.5,49.5,46.2,46.8,59.4,130.5,81.5
2024/2/29 10:00,99.2,63,52.3,51.2,49.2,45.9,46.7,58.7,161.3,77.6
2024/2/29 9:00,99,63,52.7,51.3,49.6,46.2,47,59.8,127,77.2
2024/2/29 8:00,94.3,62.8,52.6,51.3,49.6,46.2,46.9,60.1,113.1,80.8
2024/2/29 7:00,95.7,62.4,52.4,51.1,49.3,45.9,46.6,59.9,121.4,84.4
2024/2/29 6:00,98,62.2,52.4,51.1,48.9,45.6,46.3,59.3,138.3,87.3
2024/2/29 5:00,99.5,62.3,52.5,51.2,48.9,45.6,46.2,59.1,172,87.9
2024/2/29 4:00,100.2,62.7,52.7,51.5,49.2,45.9,46.2,59.8,153.8,91.4
2024/2/29 3:00,97.5,63,52.9,51.7,49.4,46.2,46.7,59.8,169.1,94.1
2024/2/29 2:00,88,63.1,53,51.9,49.5,46.4,47.1,59.6,198.3,81.6
2024/2/29 1:00,82.6,62.6,52.9,51.8,49.1,46,46.4,59.4,128.1,76
2024/2/29 0:00,80.2,62.3,52.8,51.6,48.8,45.7,46,59.2,116.5,75.5
2024/2/28 23:00,79.3,62.2,52.7,51.7,48.9,45.6,45.9,59.1,119.7,75.1
2024/2/28 22:00,79.2,62.4,52.9,51.8,49,45.7,46,59.2,115.7,76.1
2024/2/28 21:00,77.7,62.7,53.1,52.1,49.2,46,46.4,59.3,114.4,78.2
2024/2/28 20:00,75.7,62.8,53.2,52.2,49.3,46.2,46.6,59.5,117.9,81.1
2024/2/28 19:00,74.2,62.9,53.3,52.3,49.3,46.2,46.6,60.1,128.4,83
2024/2/28 18:00,73.5,63,53.3,52.2,49.2,46,46.6,60.4,149.8,78.1
2024/2/28 17:00,72.9,63.3,53.3,52.2,49.1,46,46.5,60.9,114.6,77.3
2024/2/28 16:00,72.4,63.7,53.4,52.2,49.3,46.1,46.7,61.8,114.8,78.5
2024/2/28 15:00,72.9,63.9,53.5,52.2,49.4,46.3,46.8,62.5,116.6,80.7
2024/2/28 14:00,73,63.7,53.2,52,49.2,46.2,46.7,62.4,121,84
2024/2/28 13:00,73.4,63.9,53.1,51.8,49,45.9,46.5,61.7,133.9,86.5
2024/2/28 12:00,74.1,64.4,53,51.7,48.8,45.8,46.2,60.4,167,84.6
2024/2/28 11:00,74.2,65,53.1,51.8,48.9,45.8,46.1,60.7,151.2,82.4
2024/2/28 10:00,75.3,66.1,53.6,52.3,49.3,46.3,46.8,61.4,141.9,83.5
2024/2/28 9:00,76.7,66.7,53.7,52.4,49.5,46.6,47.1,62.2,174.9,81.2
2024/2/28 8:00,78.2,66.5,53.6,52.2,49.4,46.4,46.8,62.6,145.3,82.2
2024/2/28 7:00,79.3,65.6,53.5,52.2,49.4,46.3,46.7,62.7,129,84.7
2024/2/28 6:00,80.2,64.2,53.6,52.4,49.6,46.6,47,63.2,159.6,85.6
2024/2/28 5:00,79.3,61.6,53.3,52.3,49.5,46.4,46.8,62.7,187.6,83.3
2024/2/28 4:00,76.5,60.8,53.4,52.3,49.6,46.5,47,63.2,172.8,82.3
2024/2/28 3:00,73,60.6,53.3,52.3,49.7,46.6,47.2,63.8,126.6,85.6
2024/2/28 2:00,70.7,60.3,53,52.2,49.5,46.5,47.2,63.1,151.3,87.6
2024/2/28 1:00,70.4,60.1,52.9,52,49.3,46.4,47.1,62.6,195.5,86.3
2024/2/28 0:00,70.6,60.1,52.8,51.9,49.3,46.2,46.8,63,196.9,82.8
2024/2/27 23:00,71.3,60.2,52.8,51.8,49.2,46.2,46.8,63.8,162.3,84.7
2024/2/27 22:00,71.7,60.3,52.7,51.8,49.2,46.1,46.8,65.1,148.7,89.1
2024/2/27 21:00,71.8,60.1,52.6,51.7,49.1,46.1,46.9,67.1,176.8,86.8
2024/2/27 20:00,72.3,59.9,52.4,51.6,49,45.9,47.1,71.8,158.7,83.1
2024/2/27 19:00,72.4,59.8,52.6,51.6,49.1,45.9,46.5,74.3,166.5,84
2024/2/27 18:00,72.6,60,52.8,51.9,49.3,46.2,46.6,73.3,180.8,84.7
2024/2/27 17:00,72,60.1,52.8,52,49.2,46.2,46.5,65.8,165.6,85.4
2024/2/27 16:00,70.8,60.3,52.9,52,49.3,46.2,46.5,60,185.6,82.5
2024/2/27 15:00,69.7,60.4,53.1,52.2,49.5,46.3,46.5,59.8,154,80
2024/2/27 14:00,68.8,60.8,53.3,52.3,49.7,46.5,46.8,59.4,163.3,75.9
2024/2/27 13:00,68.1,60.8,53.4,52.4,49.7,46.6,47.1,60.4,123.2,75.2
2024/2/27 12:00,67.6,60.7,53.3,52.4,49.5,46.5,46.8,60.7,103.2,77.3
2024/2/27 11:00,67.4,60.7,53.4,52.4,49.4,46.5,46.7,61.2,113.1,78.8
2024/2/27 10:00,66.7,60.7,53.4,52.4,49.5,46.5,46.7,61.6,136.1,75.6
2024/2/27 9:00,66,60.9,53.4,52.3,49.5,46.5,46.6,61.9,111.5,74.2
2024/2/27 8:00,65.8,61.3,53.4,52.3,49.5,46.4,46.6,61.8,111.1,74.9
2024/2/27 7:00,66.2,61.7,53.4,52.3,49.5,46.3,46.6,61.3,115.2,75
2024/2/27 6:00,67.4,62.1,53.5,52.3,49.5,46.2,46.8,61.2,117.7,75.8
2024/2/27 5:00,68.4,62.3,53.5,52.2,49.5,46.3,47,61,119.8,75.8
2024/2/27 4:00,68.6,62,53.3,52.1,49.2,46,46.3,60.6,108,72.6
2024/2/27 3:00,67.9,61.6,53.3,52,49.3,46,46.1,60.4,97.8,73.2
2024/2/27 2:00,67.2,61.2,53.5,52.1,49.4,46.1,46.2,60.7,100.4,74
2024/2/27 1:00,66.4,60.6,53.6,52.3,49.6,46.2,46.4,61.8,105.6,76.4
2024/2/27 0:00,65.3,60.1,53.7,52.4,49.6,46.4,46.7,63,105,80.2
2024/2/26 23:00,64.6,59.8,53.6,52.5,49.6,46.4,46.9,63.3,114.8,85.2
2024/2/26 22:00,64.3,59.6,53.6,52.4,49.6,46.4,46.6,62.6,124.6,87.7
2024/2/26 21:00,63.9,59.6,53.7,52.4,49.7,46.3,46.4,61.4,114.4,77
2024/2/26 20:00,63.6,59.5,53.8,52.4,49.8,46.4,46.5,61.1,101.7,78.9
2024/2/26 19:00,63.2,59.2,53.7,52.4,49.8,46.4,46.7,61.4,108.9,84.3
2024/2/26 18:00,62.7,59.1,53.8,52.4,49.8,46.4,46.8,61.8,122.9,93.3
2024/2/26 17:00,61.8,59.1,53.8,52.5,49.7,46.4,46.9,62.1,144.9,103.7
2024/2/26 16:00,60.7,59,53.8,52.6,49.7,46.5,46.8,62,181.9,95.6
2024/2/26 15:00,59.7,59,53.7,52.6,49.7,46.5,46.8,62.2,198.3,85.7
2024/2/26 14:00,59.4,59,53.7,52.5,49.7,46.5,46.7,62.7,163.9,84.7
2024/2/26 13:00,59,58.6,53.4,52.1,49.3,46,46.2,62.8,147.3,86.9
2024/2/26 12:00,59.4,58.8,53.6,52.3,49.5,46.2,46.5,63.7,178.8,87
2024/2/26 11:00,59.1,58.5,53.4,52.1,49.3,46,46.3,65.1,200.8,81.5
2024/2/26 10:00,58.5,58.4,53.6,52.2,49.4,46,46.1,65.5,158.4,78.7
2024/2/26 9:00,58.6,58.6,53.9,52.4,49.6,46.2,46.3,63.2,152.6,75.9
2024/2/26 8:00,58.8,58.8,53.9,52.5,49.7,46.3,46.4,62,119.8,77.3
2024/2/26 7:00,58.6,58.8,53.7,52.3,49.6,46.1,46.2,61.2,115,81.5
2024/2/26 6:00,58.8,59,53.8,52.3,49.5,46,46.1,61,129.7,85
2024/2/26 5:00,59.3,59.3,54,52.5,49.8,46.3,46.4,61.5,172.6,80.2
2024/2/26 4:00,59.7,59.6,54.1,52.5,50,46.4,46.6,62.3,133.9,76.7
2024/2/26 3:00,59.9,59.5,54,52.3,49.9,46.3,46.5,62.2,110.2,78.4
2024/2/26 2:00,60,59.5,54.1,52.3,49.8,46.2,46.5,61.6,119.2,80.3
2024/2/26 1:00,60.3,59.8,54.1,52.3,49.8,46.2,46.4,61.7,156.3,78.1
2024/2/26 0:00,60.6,60.1,54.1,52.3,49.8,46.2,46.4,62.1,140.7,76.1
2024/2/25 23:00,61.1,60.5,54.2,52.4,49.8,46.2,46.3,62.1,115.1,78.5
2024/2/25 22:00,61.7,60.9,54.3,52.4,49.9,46.3,46.5,62.3,122.4,82.4
2024/2/25 21:00,62.4,61.2,54.4,52.5,50,46.4,46.6,62.3,137.3,86.3
2024/2/25 20:00,63.5,61.7,54.7,52.7,50.2,46.7,47,62.1,165.1,89.6
2024/2/25 19:00,63.9,61.8,54.6,52.5,50,46.4,46.6,62.2,199.1,90.7
2024/2/25 18:00,64.5,61.9,54.9,52.8,50.2,46.7,46.9,62.6,160.5,96.8
2024/2/25 17:00,64.4,61.8,54.9,53,50.3,46.9,47.1,63.2,189.8,101.5
2024/2/25 16:00,63.3,61.5,55,52.9,50.3,46.8,46.9,62.3,202.9,83.8
2024/2/25 15:00,62.4,61.5,54.9,53,50.4,46.9,46.8,61.5,135.3,74.1
2024/2/25 14:00,62.6,61.5,55,53,50.5,47,47,61.9,106.5,74.4
2024/2/25 13:00,63.1,61.3,54.8,52.7,50.3,46.7,46.7,62.3,106.5,75.1
2024/2/25 12:00,63.6,61.3,55,52.8,50.4,46.8,47,62.5,108.1,75.2
2024/2/25 11:00,63.5,61.2,55.2,53,50.5,47.1,47.3,62.7,114.2,74.4
2024/2/25 10:00,62.1,60.4,54.8,53,50.4,46.9,47,62.8,113.7,73.6
2024/2/25 9:00,60.7,59.7,54.8,53,50.4,46.9,46.9,62.9,108.9,73.5
2024/2/25 8:00,60.1,59.5,54.7,53.1,50.5,47,46.8,62.7,105.5,73.3
2024/2/25 7:00,59.7,59.4,54.7,53.1,50.6,47.1,46.9,62.7,104.4,73.9
2024/2/25 6:00,59.3,59.4,54.5,53,50.6,47.1,46.9,62.7,105.4,73.2
2024/2/25 5:00,59,59.1,54.1,52.8,50.3,46.7,46.5,62.5,103.3,72.7
2024/2/25 4:00,58,58.8,53.8,52.7,50.2,46.5,46.3,62.3,106.2,72.7
2024/2/25 3:00,57.4,58.7,53.7,52.7,50.2,46.5,46.3,62.2,107.6,72.4
2024/2/25 2:00,57.6,58.8,53.9,53,50.3,46.5,46.3,62.2,106.9,72.4
2024/2/25 1:00,57.7,58.9,54.1,53.2,50.5,46.7,46.6,62.7,100.9,73.5
2024/2/25 0:00,57.6,59.3,54.3,53.5,50.6,47,46.9,63.3,102,75.4
2024/2/24 23:00,57.3,59.3,54.2,53.6,50.6,46.9,46.9,63.7,105.7,76.9
2024/2/24 22:00,57.2,59.6,54.4,53.6,50.5,46.9,46.9,64.2,112.4,77.8
2024/2/24 21:00,57.3,59.9,54.6,53.8,50.6,46.9,46.9,64.6,117.2,78
2024/2/24 20:00,58,60.4,55,54.1,50.9,47.2,47.3,64.2,123.8,76.8
2024/2/24 19:00,58.2,60.5,55.1,54.1,50.9,47.2,47.1,63.7,122.6,75.2
2024/2/24 18:00,58.4,60.7,55.3,54.1,50.9,47,46.9,63.5,116.4,75
2024/2/24 17:00,59.3,61.1,55.6,54.3,51.1,47.3,47.4,64,121.1,74.2
2024/2/24 16:00,59.8,61.4,55.8,54.4,51.3,47.5,47.3,64.8,111,74
2024/2/24 15:00,60.3,61.6,55.8,54.4,51.4,47.6,47.4,65.5,107.2,74.6
2024/2/24 14:00,60.4,61.5,55.7,54.4,51.3,47.6,47.5,66.1,109.4,75.1
2024/2/24 13:00,60.7,61.6,55.6,54.3,51.2,47.6,47.5,66.4,114.1,74.4
2024/2/24 12:00,61,61.8,55.6,54.3,51.2,47.6,47.7,66.8,110.2,75
2024/2/24 11:00,61.2,61.7,55.6,54.2,51.1,47.6,47.9,67.1,113.1,75
2024/2/24 10:00,61.7,62,55.6,54.1,51.1,47.6,47.9,67.9,112.2,75.1
2024/2/24 9:00,62.1,62,55.5,53.9,50.9,47.6,47.9,68.7,107.6,75.1
2024/2/24 8:00,62.7,62.1,55.2,53.7,50.6,47.3,47.8,69,107.9,74.4
2024/2/24 7:00,62.8,61.9,54.9,53.7,50.2,47,47.5,68.2,108.4,74.5
2024/2/24 6:00,61.6,61.5,54.8,53.6,49.8,46.6,46.9,67.2,107.3,74
2024/2/24 5:00,60.5,61.6,54.7,53.8,49.8,46.7,47,67.6,109.6,73.6
2024/2/24 4:00,60.6,61.9,55,54,50,47,47.4,68.1,101.5,73.8
2024/2/24 3:00,61.8,62.6,55.5,54.3,50.3,47.5,47.8,68.7,97.9,74.3
2024/2/24 2:00,62.8,63.1,55.8,54.7,50.8,48.2,48.4,69.4,96.3,75.4
2024/2/24 1:00,62.4,63,55.8,54.8,50.9,48.7,48.7,70,102.3,77.3
2024/2/24 0:00,61.5,62.7,55.6,54.7,50.8,48.8,48.7,70.4,108.3,78.9
2024/2/23 23:00,61.5,62.4,55.5,54.5,50.8,48.5,48.7,70.9,117.5,81
2024/2/23 22:00,62,62.7,55.7,54.4,50.9,48.2,48.6,71.4,137.1,81.1
2024/2/23 21:00,62,62.7,55.8,54.5,50.8,48,48.5,72.2,163.5,79.6
2024/2/23 20:00,62.5,62.7,55.7,54.4,50.6,47.7,48.4,73.8,127.4,81.5
2024/2/23 19:00,62.8,62.6,55.3,54.3,50.4,47.6,48.6,74.3,142.9,84.3
2024/2/23 18:00,62.4,62.2,55.1,54.2,50.2,47.6,48.3,75.1,169.7,86.3
2024/2/23 17:00,61,61.8,54.9,54.3,50.2,47.5,48.3,75.6,188.2,85.1
2024/2/23 16:00,59.1,61.8,55.1,54.5,50.4,47.7,48.6,73.3,190.9,78.7
2024/2/23 15:00,58,61.5,55,54.4,50.4,47.7,48.5,72.9,135.9,77.9
2024/2/23 14:00,57.7,61.4,54.9,54.2,50.3,47.3,48.5,74.6,122.5,80
2024/2/23 13:00,57.6,61.3,55,54,50.2,47,48.4,78.3,137.2,79.5
2024/2/23 12:00,57.7,61.5,55.1,54.1,50.3,47.1,48.5,81.4,169.3,76
2024/2/23 11:00,57.2,61.4,55,54,50.3,46.9,48.3,79.3,124,75.8
2024/2/23 10:00,56.9,61.5,55.1,54.1,50.4,46.9,48.3,75.5,103.3,77.4
2024/2/23 9:00,57,61.6,55,54.2,50.4,46.9,48.1,74.2,104.6,78.6
2024/2/23 8:00,57.3,61.9,55.4,54.6,50.8,47.2,48.4,74.3,104.3,80.2
2024/2/23 7:00,58,62.4,55.5,54.9,51.3,47.8,49.1,75.3,110.4,82
2024/2/23 6:00,58.1,62.4,55.4,54.8,51.2,47.8,49,75.9,117.6,83.4
2024/2/23 5:00,57.9,62.3,55.2,54.6,51,47.6,48.8,76.3,127,85.3
2024/2/23 4:00,57.5,62.2,54.9,54.4,50.7,47.3,48.7,75.8,143,85.8
2024/2/23 3:00,57.1,61.8,54.6,54,50.3,47,48.4,74.7,164.2,82.4
2024/2/23 2:00,56.7,61.7,54.6,53.7,50.1,46.8,48.1,74.3,155.7,78.4
2024/2/23 1:00,57.1,62.1,55.1,53.9,50.4,47,48.2,74.3,135,78.7
2024/2/23 0:00,57.7,62.6,55.5,54.1,50.9,47.3,48.6,74.7,138.2,79.4
2024/2/22 23:00,57.7,62.6,55.5,54,50.8,47,48.4,74.8,149.5,78.5
2024/2/22 22:00,57.9,62.9,55.7,54.1,50.7,46.9,48.5,74.7,153.2,76.5
2024/2/22 21:00,58.2,63.3,55.8,54.1,50.7,46.8,48.5,73.6,130.7,75
2024/2/22 20:00,58.8,63.8,56,54.3,50.9,47.1,48.5,72.7,109.9,74.9
2024/2/22 19:00,59.2,63.8,56,54.3,50.9,47.2,48.5,72.7,113.2,75
2024/2/22 18:00,59.3,63.9,55.9,54,50.8,47,48.4,72.5,113.3,75
2024/2/22 17:00,59,63.5,55.7,53.8,50.5,46.6,48,72.2,113.5,74.6
2024/2/22 16:00,59.6,63.7,56,54.2,50.9,47,48.4,73.1,113.2,73.3
2024/2/22 15:00,60.1,63.9,56.4,54.5,51.3,47.5,48.7,73.9,105.5,73.9
2024/2/22 14:00,60.4,63.8,56.4,54.3,51.4,47.1,48.4,73.1,109.7,74.2
2024/2/22 13:00,60.8,63.8,56.4,54.4,51.5,47.2,48.7,73.1,112.4,74.8
2024/2/22 12:00,61.4,64,56.5,54.6,51.5,47.4,48.8,73.8,110.8,76.1
2024/2/22 11:00,61.3,63.8,56.3,54.8,51.4,47.4,48.9,74.5,110.1,79.9
2024/2/22 10:00,60.6,63.3,56.2,54.7,51.2,47.3,48.8,74.9,123.9,83.6
2024/2/22 9:00,60.4,63.1,56.1,54.6,51.1,47.2,48.8,74.4,150.1,85
2024/2/22 8:00,60.4,63.1,55.9,54.6,51.2,47.2,48.5,74.8,171,84.4
2024/2/22 7:00,60.4,62.8,55.5,54.4,51,47.1,48.4,74.2,171.2,80.6
2024/2/22 6:00,60.2,62.5,55,54.2,50.9,46.7,48,74.7,143.5,77.7
2024/2/22 5:00,59.9,62.2,54.8,54,50.8,46.5,47.8,74.8,139.1,74.5
2024/2/22 4:00,60.4,62.2,54.9,54,50.9,46.5,47.9,75.2,124.3,74.1
2024/2/22 3:00,60.9,62.4,55.1,54,51.2,46.7,48.4,75.6,117.9,75.3
2024/2/22 2:00,61,62.4,55.1,54.1,51.3,46.9,48.6,76.3,119.2,74.5
2024/2/22 1:00,60.6,61.9,55.1,54.3,51.3,46.9,48.9,76.5,118.4,74.5
2024/2/22 0:00,60.6,61.3,55.1,54.4,51.3,46.9,48.9,76.4,117.3,75
2024/2/21 23:00,60.7,61,55.2,54.5,51.4,46.9,49.2,76.2,117.3,74.7
2024/2/21 22:00,61.5,61.3,55.4,55,51.7,47.1,49.5,76.3,117.8,74.8
2024/2/21 21:00,62.5,61.7,55.5,55.3,51.9,47.4,49.8,77.6,113.3,75.8
2024/2/21 20:00,63.2,61.9,55.6,55.4,52,47.5,49.9,78.5,113,75.7
2024/2/21 19:00,63.2,61.4,55.2,55.2,51.7,47.2,49.5,78.3,118.5,75.3
2024/2/21 18:00,63.6,61.3,55.4,55.3,51.7,47.2,49.5,78.9,124.4,74.5
2024/2/21 17:00,64.2,61.9,55.7,55.7,52,47.6,49.9,78.8,126.1,73.1
2024/2/21 16:00,65,62.7,55.9,56.1,52.3,48,50.3,79.1,120.5,72.2
2024/2/21 15:00,65.9,62.8,55.8,56,52.2,48.1,50.6,79.2,118.5,72.1
2024/2/21 14:00,67.6,62.9,55.3,55.8,52,47.8,50.6,79.1,111.6,72.1
2024/2/21 13:00,69.3,62.6,54.7,55.4,51.4,47.5,50.4,79.7,104.3,72.4
2024/2/21 12:00,71,62.3,54.4,55.1,51.1,47.2,50.4,79.9,101.6,72.2
2024/2/21 11:00,72.8,62.2,54.5,55.2,51.2,47.4,50.7,80.7,104.8,73
2024/2/21 10:00,75.9,62.2,54.6,55.2,51.3,47.6,51.1,81.7,106.2,73.7
2024/2/21 9:00,81.2,62.3,54.8,55.5,51.6,48,51.2,83,109.4,75.8
2024/2/21 8:00,88.4,62.6,55,55.7,52,48.2,51.7,85.1,114,79.6
2024/2/21 7:00,94.6,63.1,55.1,55.7,52.1,48.2,52.2,86.8,127.6,81.5
2024/2/21 6:00,99.5,63.3,55,55.6,52.1,48.1,52.8,87.8,144.8,79.4
2024/2/21 5:00,101.3,63,54.9,55.5,52,48.1,52.5,87.4,142,74.6
2024/2/21 4:00,97.8,62.7,55.1,55.3,52.1,48.1,51.6,84.3,119.2,72.4
2024/2/21 3:00,92.4,62.4,54.9,55.1,52,47.8,50.7,81.9,102.9,73.7
2024/2/21 2:00,82.7,62.4,55,54.8,52,47.6,51.2,82.8,101.9,74.7
2024/2/21 1:00,80.4,62.6,54.9,54.7,51.9,47.5,51.7,83.7,105.6,77.9
2024/2/21 0:00,86.1,63.1,55.3,55.2,52.3,47.8,51.8,84.9,117.4,82.7
2024/2/20 23:00,89.3,63,55.5,55.2,52.4,48,51.8,85.7,138.6,85.1
2024/2/20 22:00,87.6,62.6,55.5,55.1,52.4,47.9,52.6,86.6,168.1,83.8
2024/2/20 21:00,87.7,62.3,55.3,55,52.3,48,52.1,90.2,160.4,80.3
2024/2/20 20:00,87.8,62.1,55.2,54.8,52.2,47.9,51.5,90.3,136.5,80.7
2024/2/20 19:00,85.5,62.1,55.2,54.9,52.5,48,51.2,89.7,131.5,83.5
2024/2/20 18:00,88.2,62.4,55.1,55.1,52.8,48.2,51.4,90.7,166.4,83.4
2024/2/20 17:00,91.7,62.3,55,55.1,52.7,48.1,51.5,91.8,150.6,81.8
2024/2/20 16:00,98.9,62.1,55,55.1,52.8,48.1,52.2,94.6,135.9,85.2
2024/2/20 15:00,102.8,61.7,55.1,55.2,52.9,48,52.3,94.5,155.5,86.8
2024/2/20 14:00,98.7,61.8,55.3,55.3,53,47.9,52,96.2,148.8,86.6
2024/2/20 13:00,93.1,61.6,55.1,55.4,52.9,47.6,52.2,96.2,150.2,86.7
2024/2/20 12:00,84.5,62.1,55.4,55.6,52.9,47.7,53.1,97.8,153.2,87.2
2024/2/20 11:00,87.7,63,55.8,56,53.4,48.3,54.5,99.4,155.5,84.6
2024/2/20 10:00,90.5,63,55.6,55.9,53.2,48.2,54.4,97.8,154.1,78
2024/2/20 9:00,91.4,62.6,55.2,55.7,53.1,47.8,53.3,91.8,133,75.1
2024/2/20 8:00,89.9,62.2,55.1,55.6,53,47.6,53.3,90.4,120.9,75.1
2024/2/20 7:00,98.4,62.2,55.2,55.8,53,47.8,53.6,89.9,118.3,75.9
2024/2/20 6:00,99.1,62.4,55.5,55.9,53,47.8,53.4,86.7,115.2,77.2
2024/2/20 5:00,90.1,62.5,55.3,55.5,52.9,47.7,52.9,86.6,118.4,79.3
2024/2/20 4:00,91.8,62.8,55.3,55.2,53,47.7,53.2,86.1,133,80.3
2024/2/20 3:00,95.4,62.7,55,54.9,52.8,47.7,52.8,84.1,144.4,77.4
2024/2/20 2:00,101.1,62.5,55,54.8,52.8,47.6,52.2,83.3,123.1,75.8
2024/2/20 1:00,113.1,62.1,54.8,54.8,52.9,47.6,51.1,82.5,118.7,75.5
2024/2/20 0:00,116.9,61.9,54.9,54.9,52.9,47.5,50.7,81.6,116.9,75.3
2024/2/19 23:00,98.8,62.1,54.9,55,53.1,47.8,51.1,82.2,117,75.2
2024/2/19 22:00,85.4,62.4,55,55.1,53.2,47.9,51.1,82.5,117.5,74.9
2024/2/19 21:00,82,61.9,54.5,54.9,52.8,47.5,51,82.8,117.3,74.8
2024/2/19 20:00,87.6,61.5,54.6,55,52.7,47.3,50.6,82.4,118.9,74.4
2024/2/19 19:00,97.3,61.4,54.7,55.2,52.9,47.3,50.6,82.7,118.5,74.6
2024/2/19 18:00,95.9,61.6,55.1,55.5,53.2,47.7,51.2,83.4,117.8,75.1
2024/2/19 17:00,90,61.9,55.3,55.5,53.3,47.9,51.8,84.3,118.6,75.6
2024/2/19 16:00,91.4,61.9,55.2,55.3,53.2,47.8,51.6,84.6,120.6,74.9
2024/2/19 15:00,94.5,61.9,54.9,55.2,53.1,47.7,51.7,84.9,121.9,74.6
2024/2/19 14:00,103.9,61.8,54.9,55.1,53,47.6,51.4,85.1,121.5,74.1
2024/2/19 13:00,99.5,61.9,54.7,55.2,53,47.7,51.4,85.8,122,73.2
2024/2/19 12:00,89.7,62.2,54.8,55.2,53,47.6,51.4,85.9,119.7,73.1
2024/2/19 11:00,82.5,62.4,54.9,55.3,53.1,47.8,51.7,86.2,117.2,73.8
2024/2/19 10:00,86.9,62.3,54.9,55.4,53.2,47.8,52.1,86.8,117.3,73.6
2024/2/19 9:00,96.8,62,54.9,55.4,53.3,48,52.4,86.7,113.8,73.3
2024/2/19 8:00,101.9,61.8,54.9,55.5,53.4,48,52.6,87.1,113.6,73.3
2024/2/19 7:00,92.9,61.9,54.9,55.4,53.3,48,52.8,87.6,115.2,73.4
2024/2/19 6:00,92.7,62.2,55,55.4,53.2,47.9,52.7,89.2,112.9,73.2
2024/2/19 5:00,89.6,62.4,55,55.3,53,48,53.5,90.2,109,73.6
2024/2/19 4:00,98.8,62.6,55,55.3,52.9,48.1,54.9,91.4,110.2,74
2024/2/19 3:00,106.9,62.6,55,55.2,52.8,48.2,55.5,91,112.2,74.6
2024/2/19 2:00,119.8,62.5,55.1,55.2,52.8,48.1,54.9,90.1,116,75.1
2024/2/19 1:00,134.8,62.3,54.9,55,52.6,47.9,53.8,89.2,119.6,74.9
2024/2/19 0:00,124.9,62.3,55.1,54.9,52.6,47.7,54,88.8,123.1,75.6
2024/2/18 23:00,112.4,62.3,54.9,54.9,52.5,47.6,54.7,88.6,127.8,76.6
2024/2/18 22:00,96.8,62.4,54.9,54.8,52.5,47.7,55.1,88.5,125.4,77.5
2024/2/18 21:00,87.3,62,54.7,54.7,52.4,47.5,54.7,87.8,135.7,76.8
2024/2/18 20:00,79.8,61.9,54.7,54.6,52.3,47.2,53.9,86.5,135,75.6
